"BEZEICHNUNG","THIS_YEAR"
"Sonstige M&A bedingte Verbindlichkeiten",51600000
"Leasingverbindlichkeiten",25500000
"Kaufpreisverbindlichkeiten",26500000
"Sonstige",37100000
"Ergebnis nach Steuern",106300000
"Ergebnis aus dem Abgang von Verm<f6>genswerten",100000
"Ver<e4>nderung von W<e4>hrungskursdifferenzen",100000
"Ver<e4>nderung der Vorr<e4>te",2500000
"Ver<e4>nderung der Forderungen",124500000
"Lieferungen und Leistungen",6300000
"Ver<e4>nderung der sonstigen Verm<f6>genswerte und Verbindlichkeiten",9200000
"Auszahlungssaldo aus Ertragsteuern",21400000
"Gezahlte Zinsen ohne Zinsen f<fc>r Darlehen und Leasing",400000
"Erhaltene Zinsen",200000
"Ver<e4>nderung der langfristigen Aktiva aus dem Bankenbereich",13300000
"Ver<e4>nderung der kurzfristigen Forderungen aus dem Bankenbereich",364500000
"Ver<e4>nderung der Kundeneinlagen aus dem Bankgesch<e4>ft",319700000
"Auszahlungen f<fc>r Investitionen in immaterielle Verm<f6>genswerte",14200000
"Auszahlungen f<fc>r Investitionen in Sachanlagen",4600000
"Einzahlungen aus Investitionen in finanzielle Verm<f6>genswerte und verzinsliche Wertpapiere",0
"erworbener Zahlungsmittel",0
"Tilgung Verbindlichkeiten aus Leasing",7200000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",150000000
"Auszahlungen f<fc>r Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",1600000
"Auszahlungen f<fc>r die Tilgung von Finanzverbindlichkeiten",400000
"Gezahlte Zinsen aus Darlehen und Leasing",2200000
"Zahlungswirksame Ver<e4>nderungen des Finanzmittelbestands",118500000
"Wechselkurs- und bewertungsbedingte <c4>nderungen des Finanzmittelbestands",3600000
"Umsatzerl<f6>se",566700000
"Aktivierte Eigenleistungen",9800000
"Materialaufwand",301100000
"Personalaufwand",76900000
"Verm<f6>genswerten",1500000
"Sonstige betriebliche Ertr<e4>ge",4600000
"(at equity)",100000
"Sonstige Finanzertr<e4>ge",5900000
"Finanzaufwand",7900000
"Ertragsteueraufwand",18200000
"EUR",860000
